id,name,youtube_url,created_at
165,Violet,https://www.allmusic.com/artist/hole-mn0000680476,2025-03-20 12:01:06
166,Rid of Me,https://www.allmusic.com/artist/pj-harvey-mn0000000335,2025-03-20 12:01:06
167,Head Like a Hole,https://www.allmusic.com/artist/nine-inch-nails-mn0000351733,2025-03-20 12:01:06
168,Territorial Pissings,https://www.allmusic.com/artist/nirvana-mn0000357406,2025-03-20 12:01:06
169,God Save the Queen,https://www.allmusic.com/artist/sex-pistols-mn0000418740,2025-03-20 12:01:06
170,Welcome to the Jungle,https://www.allmusic.com/artist/guns-n-roses-mn0000540883,2025-03-20 12:01:06
172,I Feel You,https://www.allmusic.com/artist/depeche-mode-mn0000239921,2025-03-20 12:01:40
174,Personal Jesus,https://www.allmusic.com/artist/depeche-mode-mn0000239921,2025-03-20 12:01:40
176,March of the Pigs,https://www.allmusic.com/artist/nine-inch-nails-mn0000351733,2025-03-20 12:01:40
178,Love Reign O'Er Me,https://www.allmusic.com/artist/the-who-mn0000577627,2025-03-20 12:01:40
179,Sheila Take a Bow,https://www.allmusic.com/artist/the-smiths-mn0000899530,2025-03-20 12:01:40
180,Happiness,https://www.allmusic.com/artist/black-uhuru-mn0000081683,2025-03-20 12:01:40
181,Lawdy Miss Clawdy,https://www.allmusic.com/artist/lloyd-price-mn0000827250,2025-03-20 12:02:17
182,I Fall To Pieces [Single Version],https://www.allmusic.com/artist/patsy-cline-mn0000014651,2025-03-20 12:02:17
183,You Haven't Done Nothin',https://www.allmusic.com/artist/stevie-wonder-mn0000622805,2025-03-20 12:02:17
186,I Can't Be Satisfied,https://www.allmusic.com/artist/big-bill-broonzy-mn0000757873,2025-03-20 12:02:17
188,Zombie,https://www.allmusic.com/artist/fela-kuti-mn0000138833,2025-03-20 12:02:17
191,Every Single Night,https://www.allmusic.com/artist/fiona-apple-mn0000169795,2025-03-20 12:02:52
192,Density 21.5,https://www.allmusic.com/artist/edgard-var%C3%A8se-mn0000734199,2025-03-20 12:02:52
193,Landfall~Built You a Mountain,https://www.allmusic.com/artist/laurie-anderson-mn0000785773,2025-03-20 12:02:52
194,Hubble,https://www.allmusic.com/artist/actress-mn0001399533,2025-03-20 12:02:52
195,Kyanite,https://www.allmusic.com/artist/jlin-mn0002791912,2025-03-20 12:02:52
196,Shameika,https://www.allmusic.com/artist/fiona-apple-mn0000169795,2025-03-20 12:02:52
197,Señorita,https://www.allmusic.com/artist/chick-corea-mn0000110541,2025-03-20 12:02:52
199,Everybody's Happy Nowadays,https://www.allmusic.com/artist/buzzcocks-mn0000629564,2025-03-20 12:03:32
200,No Charge,https://www.allmusic.com/artist/shirley-caesar-mn0000032071,2025-03-20 12:03:32
201,Star Wars (Main Title),https://www.allmusic.com/artist/john-williams-mn0000232480,2025-03-20 12:03:32
202,Drop a Beat,https://www.allmusic.com/artist/moby-mn0000477116,2025-03-20 12:03:32
203,Pink Flag,https://www.allmusic.com/artist/wire-mn0000672910,2025-03-20 12:03:32
204,Another the Letter,https://www.allmusic.com/artist/wire-mn0000672910,2025-03-20 12:03:32
206,Star Wars: Episode I - The Phantom Menace~Duel of the Fates,https://www.allmusic.com/artist/london-symphony-orchestra-mn0000602907,2025-03-20 12:03:32
207,"Koyaanisqatsi, film score~Koyaanisqatsi",https://www.allmusic.com/artist/philip-glass-ensemble-mn0000342981,2025-03-20 12:03:32
208,Marry the Night,https://www.allmusic.com/artist/lady-gaga-mn0000994823,2025-03-20 12:04:06
209,Foolin',https://www.allmusic.com/artist/def-leppard-mn0000193320,2025-03-20 12:04:06
210,Metal Gods,https://www.allmusic.com/artist/judas-priest-mn0000246611,2025-03-20 12:04:06
211,Absolution,https://www.allmusic.com/artist/ghost-mn0002616588,2025-03-20 12:04:07
212,Jet Pilot,https://www.allmusic.com/artist/system-of-a-down-mn0000005501,2025-03-20 12:04:07
213,Rock of Ages,https://www.allmusic.com/artist/def-leppard-mn0000193320,2025-03-20 12:04:07
214,Ojos Asi,https://www.allmusic.com/artist/shakira-mn0000790797,2025-03-20 12:04:07
216,Cirkus (Including Entry of the Chameleons),https://www.allmusic.com/artist/king-crimson-mn0000076057,2025-03-20 12:04:47
218,Personal Nancy,https://www.allmusic.com/artist/marc-ribot-mn0000674728,2025-03-20 12:04:47
219,Make Me Bad,https://www.allmusic.com/artist/korn-mn0000112789,2025-03-20 12:04:47
220,Eight Cut Scars [For Robert Turman],https://www.allmusic.com/artist/aaron-dilloway-mn0000812176,2025-03-20 12:04:47
221,Medellín,https://www.allmusic.com/artist/madonna-mn0000237205,2025-03-20 12:04:47
222,Space Is the Place,https://www.allmusic.com/artist/sun-ra-his-intergalactic-solar-arkestra-mn0000584244,2025-03-20 12:04:47
223,Mastema,https://www.allmusic.com/artist/pat-metheny-mn0000179698,2025-03-20 12:05:22
224,Silver Apples of the Moon~Part A,https://www.allmusic.com/artist/morton-subotnick-mn0000857040,2025-03-20 12:05:22
225,"Life, Life",https://www.allmusic.com/artist/ryuichi-sakamoto-mn0000587608,2025-03-20 12:05:22
226,Raajat,https://www.allmusic.com/artist/vladislav-delay-mn0000185680,2025-03-20 12:05:22
