id,name,artist,cover_url,album_url,buy_url
37,A Rainbow in Curved Air,,https://fastly-s3.allmusic.com/release/mr0001412011/front/220/aYVDzbTKGyKVtHBMkqHgxB_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/a-rainbow-in-curved-air-mw0000161608
39,Ambient: Aqua/Timewind/Blackouts,,https://fastly-s3.allmusic.com/release/mr0000155988/front/220/PeXbHLiU7qYlWSWEaZCJuoAf7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/ambient-aqua-timewind-blackouts-mw0000120084
40,Toumani & Sidiki,,https://fastly-s3.allmusic.com/release/mr0004145837/front/220/co8knGf8FTDyLGIG51PVpSpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/toumani-sidiki-mw0002657966
41,Philip Glass: Songs from Liquid Days,,https://fastly-s3.allmusic.com/release/mr0001432928/front/220/y0RK5fDPtn_yYGkEgB5YCQ4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/philip-glass-songs-from-liquid-days-mw0000269337
42,Next Tango,,https://fastly-s3.allmusic.com/release/mr0002542854/front/220/UJ6ZrF4_U76JMmOjeMRKlphUoDg0hsvx4F4sL4oO-nA=.jpg,,https://www.allmusic.com/album/next-tango-mw0001525073
43,Rounds,,https://fastly-s3.allmusic.com/release/mr0000403021/front/220/-5X1AeBzMHiQYY0XFEmPKlWnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/rounds-mw0000028336
44,Philip Glass: Glassworks,,https://fastly-s3.allmusic.com/release/mr0002147045/front/220/LsGMXMFGgePx8hzycRSjdB_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/philip-glass-glassworks-mw0000157237
45,Gut,,https://fastly-s3.allmusic.com/release/mr0006623363/front/220/Nze7l-tfsYvqFnbnW_8oPg4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/gut-mw0004473235
46,Consentrik Quartet,,https://fastly-s3.allmusic.com/release/mr0006599587/front/220/oVKe-Z2mghdrSLwke1bt7ASijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/consentrik-quartet-mw0004454493
47,Just,,https://fastly-s3.allmusic.com/release/mr0006565992/front/220/SLNLH7A_5eqf8qlOUUfJwoAf7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/just-mw0004426592
48,Lay Low,,https://fastly-s3.allmusic.com/release/mr0006543923/front/220/5K-mc8qxbOp41uCEwf8QiR_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/lay-low-mw0004394877
49,Kid A,,https://fastly-s3.allmusic.com/release/mr0001436301/front/220/k0Hidl1HJaW7iMa_zQRnHd_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/kid-a-mw0000620999
50,Adam's Apple,,https://fastly-s3.allmusic.com/release/mr0001715662/front/220/8t_AjIFZZYOo3RK_bABZYgSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/adams-apple-mw0000192508
51,Mingus Ah Um,,https://fastly-s3.allmusic.com/release/mr0000007485/front/220/fTBV434r_5lX2QNsDzwr3R_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/mingus-ah-um-mw0000188531
52,Brilliant Corners,,https://fastly-s3.allmusic.com/release/mr0001072528/front/220/T4BUo5iyuEzir8Is69jsMN_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/brilliant-corners-mw0000188572
53,Saxophone Colossus,,https://fastly-s3.allmusic.com/release/mr0003350677/front/220/TdqVapR5lPyo4j0W18l_2B_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/saxophone-colossus-mw0000188597
54,The Essential Waylon Jennings [RCA Nashville/Legacy],,https://fastly-s3.allmusic.com/release/mr0000585622/front/220/-xs6L0FhQm11xdCxFYi74A4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/the-essential-waylon-jennings-rca-nashville-legacy--mw0000481565
55,The Essential Bruce Springsteen,,https://fastly-s3.allmusic.com/release/mr0000322391/front/220/aht2cb033T7rEh17OlpypoAf7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/the-essential-bruce-springsteen-mw0000322463
56,"Nite Life: Greatest Hits and Rare Tracks, 1959-1971",,https://fastly-s3.allmusic.com/release/mr0001362022/front/220/RYasMjN3sdD0WY1yydZMaN_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/nite-life-greatest-hits-and-rare-tracks-1959-1971-mw0000308293
57,MAYHEM,,https://fastly-s3.allmusic.com/release/mr0006612146/front/220/QFHadNkMAFWXn4600m0O4SpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/mayhem-mw0004464509
58,"Dave's Picks, Vol. 53: Riverfront Coliseum, Cincinnati, OH 10/2/76",,https://fastly-s3.allmusic.com/release/mr0006623197/front/220/S8CUx8kRUoySOny1CWeEzZhUoDg0hsvx4F4sL4oO-nA=.jpg,,https://www.allmusic.com/album/daves-picks-vol-53-riverfront-coliseum-cincinnati-oh-10-2-76-mw0004473082
59,"Wildflowers, Vol. 1",,https://fastly-s3.allmusic.com/release/mr0006553509/front/220/RYO9Arnj8Bvh4tOxMPiKdRyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/wildflowers-vol-1-mw0004416167
60,Honey from a Winter Stone,,https://fastly-s3.allmusic.com/release/mr0006559528/front/220/19uHNPULnPY2blW_VWYsBhyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/honey-from-a-winter-stone-mw0004421199
61,The Best of Louis Armstrong: The Best of the Hot Five and Hot Seven Recordings,,https://fastly-s3.allmusic.com/release/mr0001135194/front/220/a6t9l8xrleNf3FDjpHxXaSpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/the-best-of-louis-armstrong-the-best-of-the-hot-five-and-hot-seven-recordings-mw0000043222
